Date,High,Low,Open,Close,Volume,Adj Close
2020-03-19,12.0,12.0,12.0,12.0,100,12.0
2020-03-20,13.0,12.0,13.0,12.75,2300,12.75
2020-03-23,12.75,11.5,12.75,11.539999961853027,18700,11.539999961853027
2020-03-24,12.899999618530273,11.5,12.899999618530273,11.699999809265137,96100,11.699999809265137
2020-03-25,13.449999809265137,11.800000190734863,11.800000190734863,13.449999809265137,19200,13.449999809265137
2020-03-26,15.449999809265137,14.0,14.0,15.449999809265137,76400,15.449999809265137
2020-03-27,16.0,14.550000190734863,15.0,14.550000190734863,486500,14.550000190734863
2020-03-30,16.5,15.25,15.25,15.899999618530273,210000,15.899999618530273
2020-03-31,17.25,14.5600004196167,16.389999389648438,17.25,461500,17.25
2020-04-01,16.0,14.5600004196167,16.0,15.050000190734863,2998900,15.050000190734863
2020-04-02,15.899999618530273,12.119999885559082,15.65999984741211,13.279999732971191,15966300,13.279999732971191
2020-04-03,17.0,13.380000114440918,13.75,16.920000076293945,66934300,16.920000076293945
2020-04-06,17.149999618530273,14.850000381469727,17.059999465942383,15.4399995803833,37138000,15.4399995803833
2020-04-07,15.800000190734863,14.550000190734863,15.199999809265137,15.25,23486000,15.25
2020-04-08,15.25,13.729999542236328,14.5,14.260000228881836,49372700,14.260000228881836
2020-04-09,15.5,13.899999618530273,14.0,14.779999732971191,34992600,14.779999732971191
2020-04-13,14.5,13.979999542236328,14.5,13.989999771118164,21497400,13.989999771118164
2020-04-14,14.199999809265137,13.779999732971191,14.0,13.869999885559082,22350000,13.869999885559082
2020-04-15,13.654999732971191,12.9399995803833,13.529999732971191,13.359999656677246,14990700,13.359999656677246
2020-04-16,13.25,12.260000228881836,13.149999618530273,12.890000343322754,21745200,12.890000343322754
2020-04-17,13.829999923706055,12.930000305175781,13.300000190734863,13.739999771118164,21336500,13.739999771118164
2020-04-20,14.739999771118164,13.475000381469727,13.5,14.449999809265137,20032200,14.449999809265137
2020-04-21,15.25,14.180000305175781,14.220000267028809,14.6899995803833,16235900,14.6899995803833
2020-04-22,15.15999984741211,14.220000267028809,14.949999809265137,14.789999961853027,12543300,14.789999961853027
2020-04-23,15.920000076293945,14.609999656677246,14.699999809265137,15.720000267028809,12226000,15.720000267028809
2020-04-24,16.670000076293945,15.289999961853027,15.600000381469727,16.25,17393100,16.25
2020-04-27,16.809999465942383,15.975000381469727,16.170000076293945,16.799999237060547,12186100,16.799999237060547
2020-04-28,17.75,16.610000610351562,16.8799991607666,17.0,12983800,17.0
2020-04-29,18.079999923706055,17.170000076293945,17.459999084472656,17.639999389648438,12523200,17.639999389648438
2020-04-30,17.84000015258789,16.985000610351562,17.219999313354492,17.709999084472656,19094100,17.709999084472656
